fip_code,STATE_fip,COUNTY_fip,CENTROID_LAT,CENTROID_LON,Population_centroid_lat,Population_centroid_long,Population,county_name,state,Location Name,Latitude,Longitude,Year,Station_WMO,Station_Latitude,Station_Longitude,Distance_Miles,Status,HDD_base65F,CDD_base65F,QC_Missing_Data,QC_Extreme_Temperature,QC_Sudden_Temp_Jumps,QC_Constant_Temp_Periods,QC_Day-Night_Swings,QC_Summer_Freezing,QC_Winter_Extreme_Heat,QC_Missing_Temperature_Data,Temp_Holes,Dewpoint_Holes,RH_Holes
G0100570,1,57,33.7161568,-87.7642923,33.726422,-87.770355,17241.0,Fayette,Alabama,G0100570,33.726422,-87.770355,2011,KTCL0,33.2206,-87.6114,36.12965151188233,True,2550.0,2254.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100590,1,59,34.4419892,-87.8428144,34.460481,-87.793594,31704.0,Franklin,Alabama,G0100590,34.460481,-87.793594,2011,72332,34.2667,-88.1,22.015115275797896,True,2961.0,2135.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100610,1,61,31.0923933,-85.821011,31.09426,-85.788849,26790.0,Geneva,Alabama,G0100610,31.09426,-85.788849,2011,KCEW0,30.7788,-86.5221,48.61502859098019,True,1899.0,2354.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100630,1,63,32.8444965,-87.9642005,32.830505,-87.924,9045.0,Greene,Alabama,G0100630,32.830505,-87.924,2011,KTCL0,33.2206,-87.6114,32.47134694804785,True,2550.0,2254.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100650,1,65,32.7527958,-87.6230608,32.775804,-87.626084,15760.0,Hale,Alabama,G0100650,32.775804,-87.626084,2011,KTCL0,33.2206,-87.6114,30.74420200857358,True,2550.0,2254.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100670,1,67,31.5169779,-85.2399712,31.478593,-85.268828,17302.0,Henry,Alabama,G0100670,31.478593,-85.268828,2011,KTOI0,31.8604,-86.0121,51.05169452036872,True,2342.0,2071.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100690,1,69,31.1581928,-85.2963976,31.20455,-85.391221,101547.0,Houston,Alabama,G0100690,31.20455,-85.391221,2011,KTOI0,31.8604,-86.0121,58.22672452820768,True,2342.0,2071.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100710,1,71,34.764114,-85.9800556,34.731984,-85.938698,53227.0,Jackson,Alabama,G0100710,34.731984,-85.938698,2011,72324,35.0333,-85.2,46.75888110302947,True,3098.0,1957.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100730,1,73,33.5534439,-86.8965359,33.518601,-86.814688,658466.0,Jefferson,Alabama,G0100730,33.518601,-86.814688,2011,72228,33.5667,-86.75,4.992166013667724,True,2561.0,2247.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100750,1,75,33.7870852,-88.0874309,33.762769,-88.109649,14564.0,Lamar,Alabama,G0100750,33.762769,-88.109649,2011,72332,34.2667,-88.1,34.822642091028854,True,2961.0,2135.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100770,1,77,34.9041221,-87.6509966,34.866179,-87.608759,92709.0,Lauderdale,Alabama,G0100770,34.866179,-87.608759,2011,KMSL0,34.7453,-87.6102,8.352329433200682,True,2974.0,2029.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,True,True
G0100790,1,79,34.529776,-87.3218651,34.543683,-87.272414,34339.0,Lawrence,Alabama,G0100790,34.543683,-87.272414,2011,KMSL0,34.7453,-87.6102,23.7217273957402,True,2974.0,2029.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,True,True
G0100810,1,81,32.6040644,-85.3530477,32.588092,-85.345833,140247.0,Lee,Alabama,G0100810,32.588092,-85.345833,2011,72226,32.3,-86.0667,46.50779154232043,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100830,1,83,34.8102387,-86.9813995,34.815612,-86.938972,82782.0,Limestone,Alabama,G0100830,34.815612,-86.938972,2011,72323,34.65,-86.7833,14.459236398018064,True,3046.0,1934.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100850,1,85,32.147888,-86.6505859,32.162415,-86.618688,11299.0,Lowndes,Alabama,G0100850,32.162415,-86.618688,2011,72226,32.3,-86.0667,33.63296056569475,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100870,1,87,32.3870267,-85.692887,32.425739,-85.715007,21452.0,Macon,Alabama,G0100870,32.425739,-85.715007,2011,72226,32.3,-86.0667,22.28818805232981,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100890,1,89,34.7642377,-86.5510802,34.746392,-86.613232,334811.0,Madison,Alabama,G0100890,34.746392,-86.613232,2011,72323,34.65,-86.7833,11.734068319773872,True,3046.0,1934.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100910,1,91,32.2475911,-87.791091,32.340479,-87.800648,21027.0,Marengo,Alabama,G0100910,32.340479,-87.800648,2011,72234,32.3333,-88.75,55.42345054897813,True,2597.0,2018.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100930,1,93,34.1382194,-87.881551,34.111797,-87.8743,30776.0,Marion,Alabama,G0100930,34.111797,-87.8743,2011,72332,34.2667,-88.1,16.761390032322172,True,2961.0,2135.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100950,1,95,34.3095637,-86.3216681,34.311974,-86.293279,93019.0,Marshall,Alabama,G0100950,34.311974,-86.293279,2011,72323,34.65,-86.7833,36.39194464908923,True,3046.0,1934.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100970,1,97,30.6845725,-88.1965682,30.683993,-88.170637,412992.0,Mobile,Alabama,G0100970,30.683993,-88.170637,2011,72223,30.6833,-88.0667,6.176132240430415,True,1673.0,2598.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100990,1,99,31.5803324,-87.3832656,31.505611,-87.360894,23068.0,Monroe,Alabama,G0100990,31.505611,-87.360894,2011,72223,30.6833,-88.0667,70.5114946771033,True,1673.0,2598.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101010,1,101,32.2036505,-86.2038308,32.346175,-86.243797,229363.0,Montgomery,Alabama,G0101010,32.346175,-86.243797,2011,72226,32.3,-86.0667,10.82116687013234,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0101030,1,103,34.4544844,-86.8464021,34.514252,-86.930781,119490.0,Morgan,Alabama,G0101030,34.514252,-86.930781,2011,72323,34.65,-86.7833,12.583912224590357,True,3046.0,1934.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101050,1,105,32.6390053,-87.2938269,32.581066,-87.369219,10591.0,Perry,Alabama,G0101050,32.581066,-87.369219,2011,KTCL0,33.2206,-87.6114,46.367172399914615,True,2550.0,2254.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101070,1,107,33.2967933,-88.0968631,33.292973,-88.066472,19746.0,Pickens,Alabama,G0101070,33.292973,-88.066472,2011,KTCL0,33.2206,-87.6114,26.76408451937966,True,2550.0,2254.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101090,1,109,31.7986508,-85.9416035,31.787277,-85.948647,32899.0,Pike,Alabama,G0101090,31.787277,-85.948647,2011,KTOI0,31.8604,-86.0121,6.277128112661854,True,2342.0,2071.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0101110,1,111,33.2964753,-85.4640679,33.257607,-85.427266,22913.0,Randolph,Alabama,G0101110,33.257607,-85.427266,2011,72215,33.3667,-84.5667,50.25792880221282,True,2947.0,1694.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101130,1,113,32.2898113,-85.1869798,32.421972,-85.062843,52947.0,Russell,Alabama,G0101130,32.421972,-85.062843,2011,72226,32.3,-86.0667,59.19048122076841,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0101150,1,115,33.7129627,-86.3156631,33.660628,-86.369107,83593.0,St. Clair,Alabama,G0101150,33.660628,-86.369107,2011,72228,33.5667,-86.75,22.85729503844245,True,2561.0,2247.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101170,1,117,33.2630428,-86.6780894,33.290719,-86.737978,195085.0,Shelby,Alabama,G0101170,33.290719,-86.737978,2011,KEET0,33.1778,-86.7832,8.228039438277913,True,2629.0,2021.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101190,1,119,32.5974811,-88.2000571,32.57442,-88.232646,13763.0,Sumter,Alabama,G0101190,32.57442,-88.232646,2011,72234,32.3333,-88.75,34.45800789165399,True,2597.0,2018.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101210,1,121,33.3692774,-86.1758045,33.372083,-86.169238,82291.0,Talladega,Alabama,G0101210,33.372083,-86.169238,2011,72228,33.5667,-86.75,36.07282486621841,True,2561.0,2247.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101230,1,123,32.8633694,-85.7995532,32.85306,-85.864503,41616.0,Tallapoosa,Alabama,G0101230,32.85306,-85.864503,2011,72226,32.3,-86.0667,39.98504276791589,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0101250,1,125,33.2902485,-87.5227591,33.214154,-87.520229,194656.0,Tuscaloosa,Alabama,G0101250,33.214154,-87.520229,2011,KTCL0,33.2206,-87.6114,5.2887737432099495,True,2550.0,2254.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101270,1,127,33.7915581,-87.3010937,33.834858,-87.253922,67023.0,Walker,Alabama,G0101270,33.834858,-87.253922,2011,72228,33.5667,-86.75,34.3850506136594,True,2561.0,2247.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101290,1,129,31.4052172,-88.1975644,31.410368,-88.18612,17581.0,Washington,Alabama,G0101290,31.410368,-88.18612,2011,72223,30.6833,-88.0667,50.73045848044843,True,1673.0,2598.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0101310,1,131,31.9900845,-87.3049075,31.999753,-87.380407,11670.0,Wilcox,Alabama,G0101310,31.999753,-87.380407,2011,72226,32.3,-86.0667,79.59995891499119,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0101330,1,133,34.1546073,-87.36529,34.163824,-87.415693,24484.0,Winston,Alabama,G0101330,34.163824,-87.415693,2011,72332,34.2667,-88.1,39.738925748962416,True,2961.0,2135.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0200200,2,20,61.1742503,-149.2843294,61.192232,-149.793182,291826.0,Anchorage,Alaska,G0200200,61.192232,-149.793182,2011,70273,61.1667,-150.0333,8.190005782225688,True,10293.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0200500,2,50,60.9291413,-160.1526246,60.679946,-162.151263,17013.0,Bethel,Alaska,G0200500,60.679946,-162.151263,2011,70219,60.7833,-161.8333,12.89796284363981,True,13034.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0200600,2,60,58.7301584,-156.9966325,58.735464,-156.834047,997.0,Bristol Bay,Alaska,G0200600,58.735464,-156.834047,2011,70326,58.6833,-156.65,7.524052644448116,True,11311.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0200680,2,68,63.6811063,-150.0265438,63.882845,-149.032949,1826.0,Denali,Alaska,G0200680,63.882845,-149.032949,2011,70260,64.55,-149.0667,46.10709964081599,True,13307.0,16.0,Good,Good,Suspicious,Good,Suspicious,Good,Good,Good,False,True,True
G0200700,2,70,59.824816,-158.6022333,59.136256,-158.718472,4847.0,Dillingham,Alaska,G0200700,59.136256,-158.718472,2011,70326,58.6833,-156.65,80.15806534285569,True,11311.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0200900,2,90,64.6882063,-146.589255,64.831552,-147.624018,97581.0,Fairbanks North Star,Alaska,G0200900,64.831552,-147.624018,2011,70261,64.8,-147.8667,7.460763749872391,True,13637.0,52.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,True,True
G0201100,2,110,58.3729099,-134.1784454,58.358516,-134.530605,31275.0,Juneau,Alaska,G0201100,58.358516,-134.530605,2011,70381,58.35,-134.5667,1.434685204574345,True,8841.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0201220,2,122,60.3666677,-152.3222833,60.292592,-151.064475,55400.0,Kenai Peninsula,Alaska,G0201220,60.292592,-151.064475,2011,70259,60.5833,-151.2333,20.894141966989512,True,10654.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0201300,2,130,55.4499378,-131.1066847,55.367858,-131.678527,13477.0,Ketchikan Gateway,Alaska,G0201300,55.367858,-131.678527,2011,70395,55.35,-131.7167,1.941689989254855,True,7424.0,2.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0201500,2,150,57.5020153,-153.5635123,57.779137,-152.460881,13592.0,Kodiak Island,Alaska,G0201500,57.779137,-152.460881,2011,70350,57.75,-152.4833,2.176126734759108,True,8873.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0201640,2,164,58.2050652,-156.7051884,58.557351,-156.371652,1631.0,Lake and Peninsula,Alaska,G0201640,58.557351,-156.371652,2011,70326,58.6833,-156.65,13.266990072346646,True,11311.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0201700,2,170,62.1822498,-149.4077873,61.611281,-149.421961,88995.0,Matanuska-Susitna,Alaska,G0201700,61.611281,-149.421961,2011,70273,61.1667,-150.0333,36.7786169940701,True,10293.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0201800,2,180,64.7836858,-164.1889119,64.457026,-165.295491,9492.0,Nome,Alaska,G0201800,64.457026,-165.295491,2011,70200,64.5167,-165.4333,5.815428859746513,True,13837.0,0.0,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,False,False,False
G0201850,2,185,69.4493427,-153.4728302,70.522779,-154.862085,9430.0,North Slope,Alaska,G0201850,70.522779,-154.862085,2011,70026,71.2833,-156.7667,67.9261736139723,True,18530.0,0.0,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,False,True,True
G0201880,2,188,67.0050655,-160.0210864,66.943735,-161.638185,7523.0,Northwest Arctic,Alaska,G0201880,66.943735,-161.638185,2011,70133,66.8833,-162.6,26.390492882634327,True,14961.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,True,True
G0202200,2,220,57.1932044,-135.3673965,57.062746,-135.337171,8881.0,Sitka,Alaska,G0202200,57.062746,-135.337171,2011,70371,57.05,-135.3667,1.4165451643347462,True,7711.0,0.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0202400,2,240,63.8649972,-143.2186282,63.856185,-144.687024,7029.0,Southeast Fairbanks,Alaska,G0202400,63.856185,-144.687024,2011,70267,64.0,-145.7167,32.80808363489374,True,13132.0,11.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,True,True
G0202610,2,261,61.3498403,-145.0231406,61.26149,-145.882504,9636.0,Valdez-Cordova,Alaska,G0202610,61.26149,-145.882504,2011,70296,60.5,-145.4833,54.298701817087554,True,9616.0,0.0,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,False,False,False
G0400010,4,1,35.385084,-109.4901722,35.577687,-109.41484,71518.0,Apache,Arizona,G0400010,35.577687,-109.41484,2011,KSJN0,34.5186,-109.3787,73.20436524185524,True,5192.0,919.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,True,True,True
G0400030,4,3,31.8401287,-109.7751627,31.607357,-110.063053,131346.0,Cochise,Arizona,G0400030,31.607357,-110.063053,2011,72274,32.1333,-110.95,63.47445003903676,True,1699.0,3392.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,True,True,True
G0400050,4,5,35.8296919,-111.7737277,35.514426,-111.590056,134421.0,Coconino,Arizona,G0400050,35.514426,-111.590056,2011,KPRC0,34.6544,-112.4196,75.70111649255415,True,4429.0,1210.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0400070,4,7,33.7896177,-110.8118696,33.82356,-111.007494,53597.0,Gila,Arizona,G0400070,33.82356,-111.007494,2011,KSDL0,33.6229,-111.9105,53.71288442887598,True,1401.0,4333.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0400090,4,9,32.9318277,-109.8783103,32.86733,-109.812181,37220.0,Graham,Arizona,G0400090,32.86733,-109.812181,2011,KSAD0,32.8533,-109.6351,10.32305693609946,True,2419.0,2984.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0400110,4,11,33.2388723,-109.2423231,32.970402,-109.248712,8437.0,Greenlee,Arizona,G0400110,32.970402,-109.248712,2011,KSAD0,32.8533,-109.6351,23.82789736099508,True,2419.0,2984.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0400120,4,12,33.7276104,-114.038806,33.908361,-114.172146,20489.0,La Paz,Arizona,G0400120,33.908361,-114.172146,2011,KIPL0,32.8342,-115.5787,109.97566955038316,True,1250.0,4073.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0400130,4,13,33.3465408,-112.4955335,33.493403,-112.04143,3817117.0,Maricopa,Arizona,G0400130,33.493403,-112.04143,2011,72278,33.4333,-112.05,4.1819915897542,True,1127.0,4880.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0400150,4,15,35.717705,-113.7496891,35.069679,-114.249634,200186.0,Mohave,Arizona,G0400150,35.069679,-114.249634,2011,KHND0,35.9729,-115.1344,79.81209815453235,True,2604.0,3161.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0400170,4,17,35.3907852,-110.3210248,34.893625,-110.211155,107449.0,Navajo,Arizona,G0400170,34.893625,-110.211155,2011,KSJN0,34.5186,-109.3787,53.91794088987526,True,5192.0,919.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,True,True,True
G0400190,4,19,32.1285226,-111.7830267,32.216707,-110.96001,980263.0,Pima,Arizona,G0400190,32.216707,-110.96001,2011,72274,32.1333,-110.95,5.792522493013376,True,1699.0,3392.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,True,True,True
G0400210,4,21,32.9190383,-111.3670054,33.060133,-111.588364,375770.0,Pinal,Arizona,G0400210,33.060133,-111.588364,2011,72278,33.4333,-112.05,37.09901996245962,True,1127.0,4880.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0400230,4,23,31.525733,-110.8452278,31.434733,-110.943195,47420.0,Santa Cruz,Arizona,G0400230,31.434733,-110.943195,2011,72274,32.1333,-110.95,48.26795591004037,True,1699.0,3392.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,True,True,True
