zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Distance [km],Distamce [mi],Location,zip0,weather_station_wmo_2022,hdd_base65F_2022,cdd_base65F_2022,distance_location_station_miles_2022,EPW_file_name_2022
14302,43.0939,-79.04919,Niagara Falls,NY,New York,TRUE,,109,3028.5,36063,Niagara,"{""36063"": ""100""}",Niagara,36063,FALSE,FALSE,America/Toronto,8.493429283,5.275421915,Niagara Falls / Walmore,14302,KIAG0,6155,817,5.277631117,KIAG0_2022.epw
92398,34.91176,-116.8472,Yermo,CA,California,TRUE,,2098,28.9,6071,San Bernardino,"{""06071"": ""100""}",San Bernardino,6071,FALSE,FALSE,America/Los_Angeles,8.493183336,5.275269153,Daggett / Minneola,92398,KDAG0,2119,3591,5.277478291,KDAG0_2022.epw
19143,39.94289,-75.22636,Philadelphia,PA,Pennsylvania,TRUE,,65247,7918.9,42101,Philadelphia,"{""42101"": ""100""}",Philadelphia,42101,FALSE,FALSE,America/New_York,8.492598285,5.274905767,Philadelphia International Airport,19143,72408,4164,1679,5.277114753,72408_2022.epw
48855,42.68702,-83.91404,Howell,MI,Michigan,TRUE,,15045,63.9,26093,Livingston,"{""26093"": ""100""}",Livingston,26093,FALSE,FALSE,America/Detroit,8.492138774,5.274620357,Howell / Burkhart Ridge Mobile Home Park,48855,KOZW0,6554,727,5.276829223,KOZW0_2022.epw
19118,40.0727,-75.21247,Philadelphia,PA,Pennsylvania,TRUE,,10919,1319.3,42101,Philadelphia,"{""42101"": ""99.18"", ""42091"": ""0.82""}",Philadelphia|Montgomery,42101|42091,FALSE,FALSE,America/New_York,8.492013843,5.274542759,Ambler / Five Points,19118,KLOM0,5121,1073,5.276751593,KLOM0_2022.epw
92105,32.73785,-117.09268,San Diego,CA,California,TRUE,,72848,5050.7,6073,San Diego,"{""06073"": ""100""}",San Diego,6073,FALSE,FALSE,America/Los_Angeles,8.491174471,5.27402141,San Diego International Airport,92105,72290,1365,842,5.276230026,72290_2022.epw
55105,44.9346,-93.16817,Saint Paul,MN,Minnesota,TRUE,,26729,2857.1,27123,Ramsey,"{""27123"": ""100""}",Ramsey,27123,FALSE,FALSE,America/Chicago,8.491135661,5.273997305,Saint Paul,55105,KSTP0,7831,938,5.27620591,KSTP0_2022.epw
60546,41.83803,-87.82144,Riverside,IL,Illinois,TRUE,,15685,1563.9,17031,Cook,"{""17031"": ""100""}",Cook,17031,FALSE,FALSE,America/Chicago,8.490746766,5.273755755,Chicago Midway Airport,60546,72534,5733,1511,5.275964259,72534_2022.epw
5828,44.43709,-72.11974,Danville,VT,Vermont,TRUE,,2041,14.7,50005,Caledonia,"{""50005"": ""100""}",Caledonia,50005,FALSE,FALSE,America/New_York,8.490637069,5.273687621,St Johnsbury Fairbanks,5828,72614,7542,393,5.275896096,72614_2022.epw
47714,37.95755,-87.52112,Evansville,IN,Indiana,TRUE,,34250,1656.3,18163,Vanderburgh,"{""18163"": ""100""}",Vanderburgh,18163,FALSE,FALSE,America/Chicago,8.490367975,5.273520481,Evansville Regional,47714,72432,4516,1625,5.275728887,72432_2022.epw
